NO2,PM2.5,PM10,O3,tavg,prcp,wdir,wspd,pres,year,month,day,day_of_week,week_of_year,is_spring,is_summer,is_autumn,is_winter
0.22779596411967457,0.15095349769097874,0.39243789510739097,0.41439725912895103,0.4269662921348314,0.0,0.5376044568245125,0.5162601626016261,0.527240773286465,2020,12,20,6,51,0,0,0,1
0.29864306846610816,0.1686439508897779,0.24771797216097158,0.3515267039891933,0.398876404494382,0.1888235294117647,0.48467966573816157,0.5528455284552846,0.48154657293497394,2020,12,21,0,52,0,0,0,1
0.2768413343028826,0.17061138153702646,0.25293228965497006,0.3838891200063026,0.4887640449438202,0.32941176470588235,0.6657381615598886,0.6016260162601627,0.4340949033391901,2020,12,22,1,52,0,0,0,1
0.36686241412531856,0.172578812184275,0.20730151124757373,0.3461473794647961,0.4915730337078652,0.9823529411764705,0.5069637883008357,0.35365853658536595,0.39718804920913797,2020,12,23,2,52,0,0,0,1
0.27649219154024457,0.13020515144946102,0.22685825759168443,0.5363702481752666,0.3455056179775281,0.21176470588235294,0.8969359331476323,0.44308943089430897,0.45342706502636076,2020,12,24,3,52,0,0,0,1
0.3313916095481357,0.29621819758390316,0.27640038526790295,0.5107043658132829,0.2752808988764045,0.0,0.871866295264624,0.2601626016260163,0.6748681898066771,2020,12,25,4,52,0,0,0,1
0.18640548337896687,0.3461331283789554,0.2346809561293287,0.5079517734285003,0.3089887640449438,0.07058823529411765,0.584958217270195,0.6747967479674798,0.5676625659050956,2020,12,26,5,52,0,0,0,1
0.15234437552010457,0.1834932897148375,0.2033901619787516,0.5700258541923471,0.3286516853932584,0.7647058823529411,0.5181058495821727,0.40799457994579946,0.42442882249560654,2020,12,27,6,52,0,0,0,1
0.37585349654663675,0.3400107732429432,0.2894398458928388,0.3770398246795608,0.2893258426966292,0.29411764705882354,0.3788300835654596,0.29674796747967486,0.4362624487404787,2020,12,28,0,53,0,0,0,1
0.4592014868756447,0.4079610323919884,0.24641500393579518,0.3221397778902941,0.2893258426966292,0.24705882352941178,0.7158774373259053,0.3373983739837399,0.014059753954303034,2020,12,29,1,53,0,0,0,1
0.21079822435966425,0.22920402814181268,0.1786166535473493,0.49186375964728385,0.3033707865168539,0.052941176470588235,0.6267409470752089,0.3699186991869919,0.23901581722319776,2020,12,30,2,53,0,0,0,1
0.5655193957992612,0.9334161033705798,0.43546273706443456,0.21340901601307408,0.24999999999999997,0.17058823529411765,0.5153203342618384,0.32926829268292684,0.30228471001757384,2020,12,31,3,53,0,0,0,1
0.22606862624135998,0.34633644049425527,0.3546273706443459,0.34980981652266396,0.26123595505617975,0.0,0.6295264623955432,0.1869918699186992,0.3919156414762739,2021,1,1,4,53,0,0,0,1
0.560531642047289,0.661040274849076,0.5202094527533453,0.08300531207095828,0.2893258426966292,0.01764705882352941,0.5459610027855153,0.16260162601626016,0.4833040421792596,2021,1,2,5,53,0,0,0,1
0.3629037127263849,0.5651846888569194,0.3611471009568138,0.19332902270000007,0.2780898876404494,0.0058823529411764705,0.12256267409470752,0.4065040650406504,0.54481546572935,2021,1,3,6,53,0,0,0,1
0.20805233466252593,0.19156336834637291,0.1812250345909951,0.31579104124853363,0.2640449438202247,0.06470588235294118,0.11420612813370473,0.6626016260162602,0.5659050966608064,2021,1,4,0,1,0,0,0,1
0.28031963626149475,0.26085042928745505,0.215124209785218,0.21488667293726105,0.26685393258426965,0.0058823529411764705,0.12534818941504178,0.49186991869918706,0.5676625659050956,2021,1,5,1,1,0,0,0,1
0.49803246240152454,0.21702829290082704,0.26206040101108374,0.1813492410435063,0.2528089887640449,0.0058823529411764705,0.0,0.3170731707317074,0.5518453427064998,2021,1,6,2,1,0,0,0,1
0.45651072498313344,0.06745758035591115,0.14993424044041792,0.36066262056402687,0.2584269662921348,0.4647058823529412,0.7994428969359332,0.19918699186991873,0.47451669595782064,2021,1,7,3,1,0,0,0,1
