,week_of_year,O3,month,tavg,pres
1925,15,0.6139280213904771,4,0.4803370786516854,0.5131810193321584
1926,15,0.7807735505175161,4,0.4747191011235955,0.4376098418277649
1927,15,0.8126949752939221,4,0.4410112359550561,0.2302284710017552
1928,15,0.7998726025304634,4,0.4213483146067415,0.2513181019332151
1929,15,0.6067136352762248,4,0.4353932584269663,0.3989455184534236
1930,15,0.6605011159288149,4,0.4353932584269663,0.5026362038664303
1931,15,0.5627077054332235,4,0.4353932584269663,0.6783831282952555
1932,16,0.6231273484705097,4,0.4747191011235955,0.727592267135325
1933,16,0.542179995522834,4,0.4550561797752809,0.7328646748681891
1934,16,0.7299365798871486,4,0.4943820224719101,0.7152899824253041
1935,16,0.6835642852819414,4,0.4353932584269663,0.6028119507908585
1936,16,0.5939325754176686,4,0.4887640449438202,0.4797891036906847
1937,16,0.516093297989983,4,0.4325842696629213,0.3778558875219673
1938,16,0.5507106300025844,4,0.5112359550561797,0.3198594024604553
1939,17,0.8064259821662757,4,0.4297752808988764,0.3251318101933194
1940,17,0.7305457050431527,4,0.3623595505617977,0.5131810193321584
1941,17,0.5843575891325923,4,0.3314606741573033,0.5975395430579944
1942,17,0.7213703970938773,4,0.398876404494382,0.6028119507908585
1943,17,0.4688370993729086,4,0.4831460674157303,0.4534270650263607
1944,17,0.7454250761646636,4,0.5028089887640449,0.5887521968365554
1945,17,0.6584739012929017,4,0.4915730337078652,0.6485061511423531
1946,18,0.4357906185118323,5,0.5112359550561797,0.5430579964850608
1947,18,0.7334635490475453,5,0.449438202247191,0.6977152899824226
1948,18,0.6056615973490566,5,0.4410112359550561,0.7486818980667849
1949,18,0.6209915673635737,5,0.598314606741573,0.5922671353251303
1950,18,0.5624233189250574,5,0.5730337078651685,0.5325131810193291
1951,18,0.4251222813946852,5,0.598314606741573,0.5395430579964824
1952,18,0.385222662145946,5,0.6151685393258427,0.5588752196836531
1953,19,0.3338121146730948,5,0.6039325842696629,0.6133567662565902
1954,19,0.3854023252440103,5,0.5674157303370786,0.4727592267135314
1955,19,0.5346572037696584,5,0.5533707865168539,0.442882249560629
1956,19,0.4506623035115009,5,0.550561797752809,0.5202108963093153
1957,19,0.5949461827356253,5,0.6235955056179775,0.5694200351493848
1958,19,0.8120579879462394,5,0.648876404494382,0.6256590509666076
1959,19,0.6557261127342705,5,0.598314606741573,0.5764499121265345
1960,20,0.5636521376545991,5,0.5028089887640449,0.5307557117750434
1961,20,0.6069682380622519,5,0.4803370786516854,0.6326889279437609
1962,20,0.6062947416358181,5,0.4831460674157303,0.7311072056238999
1963,20,0.6389684455875415,5,0.4550561797752809,0.753954305799649
1964,20,0.6715624060251509,5,0.5674157303370786,0.7117750439367292
1965,20,0.711045053163944,5,0.6264044943820224,0.6572934973637956
1966,20,0.6231878766800181,5,0.6601123595505617,0.5676625659050956
1967,21,0.6377242546143151,5,0.6882022471910112,0.527240773286465
1968,21,0.7366340743075044,5,0.5421348314606741,0.6485061511423531
1969,21,0.5304961295572697,5,0.5056179775280899,0.6889279437609837
1970,21,0.6337322750824577,5,0.5140449438202247,0.7469244288224921
1971,21,0.7049614877257437,5,0.5337078651685393,0.7926186291739903
1972,21,0.7028910386544676,5,0.598314606741573,0.7205623901581681
1973,21,0.6832241743904184,5,0.6264044943820224,0.6379613356766249
1974,22,0.7360662620564026,5,0.5449438202247191,0.7082601054481543
1975,22,0.650782014859195,5,0.5393258426966292,0.7381370826010532
1976,22,0.6502814561742136,5,0.6179775280898876,0.7029876977152867
1977,22,0.7107731566037717,6,0.5252808988764045,0.6678383128295238
1978,22,0.7210735206377176,6,0.5758426966292135,0.6449912126537747
