,NO2,PM2.5,PM10,O3
2014-09-10,18.1125,8.4067,18.2433,39.3246
2014-09-11,19.9375,9.3601,23.63,42.5054
2014-09-12,17.7288,7.9445,11.5767,52.6904
2014-09-13,7.0583,9.9003,16.5367,64.5417
2014-09-14,6.3533,6.8209,15.0967,52.0925
2014-09-15,24.9146,8.5675,17.87,33.6392
2014-09-16,31.8209,15.4802,23.4471,24.1908
2014-09-17,33.7121,11.8873,24.398,37.9229
2014-09-18,26.5571,10.4869,26.0833,41.74
2014-09-19,30.1371,14.9299,24.6967,22.6487
2014-09-20,24.9962,21.8256,24.27,39.5271
2014-09-21,9.0579,3.9528,16.91,68.2417
2014-09-22,18.395,10.8936,36.558,53.0446
2014-09-23,19.6804,22.8335,,42.0267
2014-09-24,20.64,27.4819,14.03,38.149
2014-09-25,13.0488,0.488,14.8926,47.9408
2014-09-26,18.9308,3.0181,32.2888,31.3421
2014-09-27,23.9583,10.0415,,17.5942
2014-09-28,23.0304,13.1893,,28.2808
2014-09-29,37.8229,9.738,,11.9
2014-09-30,19.9717,8.973,27.47,39.2004
2014-10-01,20.1779,,23.0205,33.8625
2014-10-02,35.5017,,24.6433,11.8829
2014-10-03,32.2938,,27.8967,20.3321
2014-10-04,17.8396,,21.07,40.5358
2014-10-05,13.3925,,9.6033,48.4325
2014-10-06,14.9067,,17.1767,31.4804
2014-10-07,10.4925,,9.55,49.585
2014-10-08,16.4458,,12.1633,37.7546
2014-10-09,12.5025,,19.47,47.3162
2014-10-10,19.7538,,20.8567,31.4642
2014-10-11,27.1538,,23.3633,14.7767
2014-10-12,15.8896,-3.804,21.9233,34.5587
2014-10-13,16.7635,,13.39,32.6888
2014-10-14,17.3479,,11.0967,36.4029
2014-10-15,18.82,,17.4433,32.8854
2014-10-16,17.2387,,18.5633,35.8688
2014-10-17,27.6335,,22.4613,24.1433
2014-10-18,15.8426,,13.9233,34.57
2014-10-19,11.2165,,18.99,42.955
2014-10-20,8.2648,,16.9633,53.9875
2014-10-21,8.3343,,14.03,51.8375
2014-10-22,13.6871,,18.7767,58.2408
2014-10-23,25.7896,,25.3367,28.5638
2014-10-24,25.0809,,19.47,30.1304
2014-10-25,,,21.4191,37.0858
2014-10-26,,,12.9633,41.6354
2014-10-27,,12.3651,20.8033,24.6073
2014-10-28,23.5357,20.6688,29.7633,9.1654
2014-10-29,23.3252,20.5247,41.6033,17.4613
2014-10-30,34.1283,21.363,39.4167,2.7092
2014-10-31,37.4812,14.1032,27.47,6.3846
2014-11-01,25.65,11.3624,26.7767,15.3492
2014-11-02,11.3467,6.0647,16.8567,43.2067
2014-11-03,9.3812,-0.961,9.07,58.7779
2014-11-04,26.9371,7.795,12.9633,30.5462
2014-11-05,37.0771,21.4667,26.9367,3.625
2014-11-06,38.8454,19.3674,27.79,9.8892
2014-11-07,9.485,9.5203,11.31,40.137
2014-11-08,,5.1594,,
2014-11-09,,9.5266,,
2014-11-10,,9.2818,,
2014-11-11,42.36,13.8122,17.9411,
2014-11-12,33.5039,10.538,16.5065,
2014-11-13,42.0943,13.0412,18.5633,
2014-11-14,28.2096,14.3023,15.4167,8.6538
2014-11-15,30.2017,11.9412,12.3767,7.6225
2014-11-16,23.2822,14.6502,15.2567,19.6317
2014-11-17,25.3774,6.4283,8.6433,23.9342
2014-11-18,27.8608,17.444,21.9767,2.5887
2014-11-19,27.1538,18.3902,31.95,1.1864
2014-11-20,36.8096,24.4056,38.4033,1.6367
2014-11-21,35.7858,21.9133,24.5367,2.0192
2014-11-22,28.6925,18.7458,21.0167,2.605
2014-11-23,20.6217,16.04,18.99,12.1213
2014-11-24,34.8891,8.692,13.07,23.9662
2014-11-25,41.7546,16.4444,15.0433,7.5938
2014-11-26,30.0429,19.9675,22.8833,4.2871
2014-11-27,26.4925,18.202,21.1233,-1.1753
2014-11-28,29.8342,22.9275,26.7767,-0.1379
2014-11-29,25.9642,33.2898,36.43,1.2642
2014-11-30,27.0146,30.4388,38.99,-0.1967
2014-12-01,21.1442,19.7374,31.6833,5.3675
2014-12-02,27.8712,41.4221,41.55,1.0012
2014-12-03,27.3062,40.2145,41.71,8.8721
2014-12-04,23.7225,45.3754,54.99,1.8946
2014-12-05,27.3254,37.0015,40.6433,2.8521
2014-12-06,38.6233,15.4569,8.75,25.9221
2014-12-07,19.0596,12.6782,12.8567,36.6108
2014-12-08,24.6712,9.5116,10.9367,36.3683
2014-12-09,41.7142,19.5914,12.8033,25.725
2014-12-10,16.3,8.4243,13.6033,50.7125
2014-12-11,9.96,6.7524,13.4433,59.1396
2014-12-12,9.8512,6.5226,10.5633,63.9317
2014-12-13,32.9004,11.3049,17.71,25.0788
2014-12-14,32.7004,23.251,18.6167,17.2758
2014-12-15,22.6967,13.9945,12.8033,37.2071
2014-12-16,25.5752,14.1418,16.3767,36.1382
2014-12-17,27.1862,9.95,10.7233,32.9704
2014-12-18,14.9775,8.8384,9.2833,46.1529
2014-12-19,8.5733,5.1339,10.7233,63.0912
2014-12-20,7.3142,6.4409,16.1633,65.2596
2014-12-21,9.6158,8.5174,12.8033,55.5996
2014-12-22,6.5379,7.6828,11.8433,62.7729
2014-12-23,8.4296,5.5612,12.6433,60.4396
2014-12-24,8.4192,7.1948,9.4433,61.635
2014-12-25,8.91,7.9033,12.27,57.7975
2014-12-26,20.5908,13.8945,12.6967,35.92
2014-12-27,10.8029,10.4632,4.3767,45.3129
2014-12-28,17.105,17.7581,12.6433,38.3817
2014-12-29,40.4638,12.1216,13.3367,29.1509
2014-12-30,20.3904,13.9482,15.15,42.0933
2014-12-31,25.3558,24.6008,19.7367,31.8638
2015-01-01,18.8008,52.5738,27.6833,41.0896
2015-01-02,6.2825,10.0808,15.95,61.4471
2015-01-03,21.2004,12.2939,15.5233,41.1462
2015-01-04,15.1425,10.0845,15.4167,50.0117
2015-01-05,44.9646,28.1395,24.2167,11.1337
2015-01-06,42.09,20.3866,24.5367,9.1935
2015-01-07,29.2596,10.5301,14.6167,28.8921
2015-01-08,19.2288,9.8753,8.9633,44.23
2015-01-09,10.2596,7.8178,13.71,59.0242
2015-01-10,3.7983,8.0412,14.4567,68.5378
2015-01-11,3.8675,8.8462,19.5767,70.8325
2015-01-12,11.7104,7.9709,12.59,60.1592
2015-01-13,11.3775,6.7681,9.0167,62.0688
2015-01-14,13.77,6.5242,6.7233,59.8126
2015-01-15,9.8609,6.07,8.209,66.337
2015-01-16,20.0071,9.0656,14.35,48.2679
2015-01-17,18.0317,12.7406,13.8167,46.9725
2015-01-18,17.1975,17.7614,16.0567,33.8322
2015-01-19,42.1758,16.8784,12.91,11.7833
2015-01-20,47.1171,30.4923,35.8967,13.2058
2015-01-21,45.0408,32.6305,31.0967,7.0646
2015-01-22,33.5925,31.9852,34.4567,9.6448
2015-01-23,40.8854,39.344,45.2833,6.2754
2015-01-24,24.675,21.8246,28.1633,39.3354
2015-01-25,18.4383,14.2671,23.6833,40.6896
2015-01-26,21.5279,12.0749,15.0433,46.0404
2015-01-27,22.5238,10.352,22.1367,46.3592
2015-01-28,15.7642,12.8513,10.83,51.2696
2015-01-29,12.9029,8.3648,12.2167,60.4071
2015-01-30,22.6009,10.3135,8.1633,51.7617
2015-01-31,15.48,13.2891,10.0833,49.5804
2015-02-01,13.6108,11.7428,8.8033,56.5896
2015-02-02,12.1783,6.9822,6.99,65.9692
2015-02-03,40.4038,9.941,10.0833,29.8491
2015-02-04,51.85,7.723,10.2967,20.1042
2015-02-05,42.5929,14.6174,10.0833,17.6638
2015-02-06,21.8092,21.0401,13.4433,29.5183
2015-02-07,35.8333,23.3338,18.0833,29.3278
2015-02-08,14.0333,16.0484,38.8833,61.5529
2015-02-09,29.4788,9.8016,16.5367,36.9929
2015-02-10,39.1204,7.2966,8.0567,35.7367
2015-02-11,26.8125,27.8014,25.6033,27.8065
2015-02-12,48.66,41.1218,44.5367,4.09
2015-02-13,34.905,39.4558,41.9233,26.5863
2015-02-14,21.5925,25.8377,17.9767,37.3592
2015-02-15,25.3096,44.7294,42.51,19.3013
2015-02-16,43.0783,65.7046,76.6433,4.6421
2015-02-17,31.3567,28.6855,32.5367,24.2196
2015-02-18,42.5813,26.2501,24.1633,14.8992
2015-02-19,26.2017,42.5202,39.6833,33.5104
2015-02-20,21.8946,21.0803,15.95,40.5783
2015-02-21,12.6496,10.4821,9.1767,58.9038
2015-02-22,13.8546,15.9483,11.31,55.0183
2015-02-23,12.0458,7.6852,8.59,65.1661
2015-02-24,12.0112,8.7642,14.2967,65.7225
2015-02-25,35.0742,11.178,15.63,28.3108
2015-02-26,35.5271,21.3425,14.4033,24.3608
2015-02-27,19.6525,8.7338,21.1233,58.8717
2015-02-28,25.6329,12.5285,15.79,48.7354
2015-03-01,6.5438,9.0308,16.59,72.0979
2015-03-02,6.7025,7.7445,14.0833,73.3204
2015-03-03,17.0454,4.7195,12.3767,55.3352
2015-03-04,12.0796,8.5951,16.3233,65.3633
2015-03-05,27.2088,11.6381,20.1633,41.575
2015-03-06,27.9238,18.5366,19.8967,39.1904
2015-03-07,21.9533,25.7729,24.1633,47.9178
2015-03-08,16.0433,25.545,23.95,53.82
